No,Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link,Accession
385,RPL31,Ribosomal Protein L31,Protein Coding,43,GC02P100985,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL31,P62899
386,RPS9,Ribosomal Protein S9,Protein Coding,43,GC19P056806,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS9,P46781
387,RPL13,Ribosomal Protein L13,Protein Coding,43,GC16P089802,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL13,P26373
388,RPL13A,Ribosomal Protein L13a,Protein Coding,43,GC19P049487,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL13A,P40429
389,RPL19,Ribosomal Protein L19,Protein Coding,43,GC17P039200,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL19,P84098
390,RPL27,Ribosomal Protein L27,Protein Coding,43,GC17P042998,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL27,P61353
391,RPL9,Ribosomal Protein L9,Protein Coding,43,GC04M039452,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL9,P32969
392,RPS13,Ribosomal Protein S13,Protein Coding,43,GC11M017274,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS13,P62277
393,RPS15A,Ribosomal Protein S15a,Protein Coding,43,GC16M018781,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS15A,P62244
394,RPS27,Ribosomal Protein S27,Protein Coding,43,GC01P153991,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS27,P42677
395,RPS7,Ribosomal Protein S7,Protein Coding,43,GC02P003575,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS7,P62081
396,RPL10A,Ribosomal Protein L10a,Protein Coding,43,GC06P055328,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL10A,P62906
397,RPL12,Ribosomal Protein L12,Protein Coding,43,GC09M127447,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL12,P30050
398,RPL7,Ribosomal Protein L7,Protein Coding,43,GC08M073290,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7,P18124
399,RPL7A,Ribosomal Protein L7a,Protein Coding,43,GC09P133348,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7A,P62424
400,C8A,Complement C8 Alpha Chain,Protein Coding,42,GC01P056854,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C8A,P07357
401,RPLP2,Ribosomal Protein Lateral Stalk Subunit P2,Protein Coding,42,GC11P000984,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP2,P05387
402,RPS3A,Ribosomal Protein S3A,Protein Coding,42,GC04P151099,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS3A,P61247
403,RPL23A,Ribosomal Protein L23a,Protein Coding,42,GC17P028719,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL23A,P62750
404,RPL3,Ribosomal Protein L3,Protein Coding,42,GC22M048526,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL3,P39023
405,RPLP0,Ribosomal Protein Lateral Stalk Subunit P0,Protein Coding,42,GC12M120196,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP0,P05388
406,RPL8,Ribosomal Protein L8,Protein Coding,42,GC08M144821,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL8,P62917
407,RPS29,Ribosomal Protein S29,Protein Coding,42,GC14M049570,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS29,P62273
408,C8G,Complement C8 Gamma Chain,Protein Coding,41,GC09P136944,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C8G,P07360
409,F13B,Coagulation Factor XIII B Chain,Protein Coding,41,GC01M197008,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F13B,P05160
410,UBA52,Ubiquitin A-52 Residue Ribosomal Protein Fusion Product 1,Protein Coding,41,GC19P018563,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA52,P62987
411,RPLP1,Ribosomal Protein Lateral Stalk Subunit P1,Protein Coding,41,GC15P077111,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP1,P05386
412,RPS23,Ribosomal Protein S23,Protein Coding,41,GC05M082273,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS23,P62266
413,RPL27A,Ribosomal Protein L27a,Protein Coding,41,GC11P008682,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL27A,P46776
414,RPL30,Ribosomal Protein L30,Protein Coding,41,GC08M098024,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL30,P62888
415,RPS16,Ribosomal Protein S16,Protein Coding,41,GC19M039433,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS16,P62249
416,RPS15,Ribosomal Protein S15,Protein Coding,41,GC19P001438,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS15,P62841
417,FAU,FAU Ubiquitin Like And Ribosomal Protein S30 Fusion,Protein Coding,40,GC11M065120,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAU,P62861
418,OAS2,2'-5'-Oligoadenylate Synthetase 2,Protein Coding,40,GC12P112978,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS2,P29728
419,RPL14,Ribosomal Protein L14,Protein Coding,40,GC03P040458,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL14,P50914
420,RPS4X,Ribosomal Protein S4 X-Linked,Protein Coding,40,GC0XM072255,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4X,P62701
421,RPL32,Ribosomal Protein L32,Protein Coding,40,GC03M012834,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL32,P62910
422,RPS28,Ribosomal Protein S28,Protein Coding,40,GC19P008332,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS28,P62857
423,RPL24,Ribosomal Protein L24,Protein Coding,40,GC03M101681,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL24,P83731
424,RPL28,Ribosomal Protein L28,Protein Coding,40,GC19P056476,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL28,P46779
425,RPL34,Ribosomal Protein L34,Protein Coding,40,GC04P108620,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL34,P49207
426,RPS11,Ribosomal Protein S11,Protein Coding,40,GC19P049496,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS11,P62280
427,RPS8,Ribosomal Protein S8,Protein Coding,40,GC01P044775,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS8,P62241
428,RPL18A,Ribosomal Protein L18a,Protein Coding,40,GC19P026644,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL18A,Q02543
429,RPL23,Ribosomal Protein L23,Protein Coding,40,GC17M038847,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL23,P62829
430,RPL37,Ribosomal Protein L37,Protein Coding,40,GC05M040825,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL37,P61927
431,RPL6,Ribosomal Protein L6,Protein Coding,40,GC12M112320,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL6,Q02878
432,MX2,MX Dynamin Like GTPase 2,Protein Coding,39,GC21P041361,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MX2,P20592
433,RPL3L,Ribosomal Protein L3 Like,Protein Coding,39,GC16M001943,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL3L,Q92901
434,RPS21,Ribosomal Protein S21,Protein Coding,39,GC20P062387,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS21,P63220
435,RPL29,Ribosomal Protein L29,Protein Coding,39,GC03M052012,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL29,P47914
436,IFNA5,Interferon Alpha 5,Protein Coding,38,GC09M021304,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA5,P01569
437,RPS25,Ribosomal Protein S25,Protein Coding,38,GC11M119015,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS25,P62851
438,RPL36AL,Ribosomal Protein L36a Like,Protein Coding,38,GC14M049619,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36AL,Q969Q0
439,RPS27L,Ribosomal Protein S27 Like,Protein Coding,38,GC15M067355,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS27L,Q71UM5
440,RPL17,Ribosomal Protein L17,Protein Coding,38,GC18M049488,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL17,P18621
441,RPL38,Ribosomal Protein L38,Protein Coding,38,GC17P074204,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL38,P63173
442,RPL37A,Ribosomal Protein L37a,Protein Coding,38,GC02P216498,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL37A,P61513
443,IFNA6,Interferon Alpha 6,Protein Coding,37,GC09M021349,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA6,P05013
444,RPL26L1,Ribosomal Protein L26 Like 1,Protein Coding,37,GC05P172958,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL26L1,Q9UNX3
445,IFNA21,Interferon Alpha 21,Protein Coding,36,GC09M021165,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA21,P01568
446,RPL22L1,Ribosomal Protein L22 Like 1,Protein Coding,36,GC03M170864,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL22L1,Q6P5R6
447,RPL36A,Ribosomal Protein L36a,Protein Coding,36,GC0XP101392,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36A,P83881
448,IFNA8,Interferon Alpha 8,Protein Coding,35,GC09P021409,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA8,P32881
449,IFNA10,Interferon Alpha 10,Protein Coding,35,GC09M021474,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA10,P01566
450,RPL10L,Ribosomal Protein L10 Like,Protein Coding,35,GC14M046651,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL10L,Q96L21
451,IFNA4,Interferon Alpha 4,Protein Coding,34,GC09M021186,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA4,P05014
452,IFNA17,Interferon Alpha 17,Protein Coding,34,GC09M021227,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA17,P01571
453,IFNA7,Interferon Alpha 7,Protein Coding,34,GC09M021473,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA7,P01567
454,IFNA13,Interferon Alpha 13,Protein Coding,34,GC09M021367,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA13,P01562
455,RPL39,Ribosomal Protein L39,Protein Coding,34,GC0XM119786,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL39,P62891
456,RPS4Y1,Ribosomal Protein S4 Y-Linked 1,Protein Coding,34,GC0YP002841,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4Y1,P22090
457,IFNA14,Interferon Alpha 14,Protein Coding,33,GC09M021239,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA14,P01570
458,IFNA16,Interferon Alpha 16,Protein Coding,31,GC09M021216,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA16,P05015
459,RPS4Y2,Ribosomal Protein S4 Y-Linked 2,Protein Coding,31,GC0YP020756,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4Y2,Q8TD47
460,CGAS,Cyclic GMP-AMP Synthase,Protein Coding,30,GC06M073414,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGAS,Q8N884
461,RPL41,Ribosomal Protein L41,Protein Coding,28,GC12P056393,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL41,P62945
462,RPS10-NUDT3,RPS10-NUDT3 Readthrough,Protein Coding,23,GC06M048717,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS10-NUDT3,A0A1W2PQS6
463,RPL17-C18orf32,RPL17-C18orf32 Readthrough,Protein Coding,21,GC18M049481,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL17-C18orf32,A0A0A0MRF8
464,RPL36A-HNRNPH2,RPL36A-HNRNPH2 Readthrough,Protein Coding,19,GC0XP101390,1.003278375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36A-HNRNPH2,H7BZ11
466,MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,54,GC01M011106,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR,P42345
467,COMT,Catechol-O-Methyltransferase,Protein Coding,52,GC22P019941,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT,P21964
468,HDAC2,Histone Deacetylase 2,Protein Coding,52,GC06M113933,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC2,Q92769
469,PRKACA,Protein Kinase CAMP-Activated Catalytic Subunit Alpha,Protein Coding,52,GC19M014129,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKACA,P17612
470,DNMT1,DNA Methyltransferase 1,Protein Coding,51,GC19M010133,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1,P26358
471,ITGB1,Integrin Subunit Beta 1,Protein Coding,51,GC10M032890,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1,P05556
472,CSNK2B,Casein Kinase 2 Beta,Protein Coding,50,GC06P055205,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2B,P67870
473,RIPK1,Receptor Interacting Serine/Threonine Kinase 1,Protein Coding,50,GC06P003073,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1,Q13546
474,PLAT,"Plasminogen Activator, Tissue Type",Protein Coding,50,GC08M042174,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAT,P00750
475,RDX,Radixin,Protein Coding,50,GC11M109864,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDX,P35241
476,POR,Cytochrome P450 Oxidoreductase,Protein Coding,50,GC07P075899,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POR,P16435
477,IDE,Insulin Degrading Enzyme,Protein Coding,49,GC10M092451,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE,P14735
478,GLA,Galactosidase Alpha,Protein Coding,49,GC0XM101393,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA,P06280
479,GPX1,Glutathione Peroxidase 1,Protein Coding,48,GC03M049486,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX1,P07203
480,ATP1B1,ATPase Na+/K+ Transporting Subunit Beta 1,Protein Coding,48,GC01P169105,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1B1,P05026
481,ADAM9,ADAM Metallopeptidase Domain 9,Protein Coding,48,GC08P038996,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM9,Q13443
482,RHOA,Ras Homolog Family Member A,Protein Coding,48,GC03M049359,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA,P61586
483,FBN1,Fibrillin 1,Protein Coding,47,GC15M048408,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1,P35555
484,MIB1,MIB E3 Ubiquitin Protein Ligase 1,Protein Coding,47,GC18P021704,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIB1,Q86YT6
485,GGCX,Gamma-Glutamyl Carboxylase,Protein Coding,47,GC02M085544,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGCX,P38435
486,GNB1,G Protein Subunit Beta 1,Protein Coding,47,GC01M001785,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB1,P62873
487,CIT,Citron Rho-Interacting Serine/Threonine Kinase,Protein Coding,47,GC12M119650,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIT,O14578
488,ACADM,Acyl-CoA Dehydrogenase Medium Chain,Protein Coding,47,GC01P075724,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADM,P11310
489,BCKDK,Branched Chain Keto Acid Dehydrogenase Kinase,Protein Coding,47,GC16P032547,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCKDK,O14874
490,TCF12,Transcription Factor 12,Protein Coding,47,GC15P056918,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF12,Q99081
491,PRKAR2A,Protein Kinase CAMP-Dependent Type II Regulatory Subunit Alpha,Protein Coding,47,GC03M048744,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR2A,P13861
492,AP3B1,Adaptor Related Protein Complex 3 Subunit Beta 1,Protein Coding,46,GC05M078000,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP3B1,O00203
493,NEK9,NIMA Related Kinase 9,Protein Coding,46,GC14M075079,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK9,Q8TD19
494,ETFA,Electron Transfer Flavoprotein Subunit Alpha,Protein Coding,46,GC15M076215,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETFA,P13804
495,BRD4,Bromodomain Containing 4,Protein Coding,46,GC19M015236,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD4,O60885
496,NUP62,Nucleoporin 62,Protein Coding,46,GC19M049906,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP62,P37198
497,PLOD2,"Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 2",Protein Coding,46,GC03M146069,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLOD2,O00469
498,PPT1,Palmitoyl-Protein Thioesterase 1,Protein Coding,46,GC01M040072,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPT1,P50897
499,SLC27A2,Solute Carrier Family 27 Member 2,Protein Coding,46,GC15P050182,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC27A2,O14975
500,POLA1,"DNA Polymerase Alpha 1, Catalytic Subunit",Protein Coding,46,GC0XP024693,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLA1,P09884
501,PKP2,Plakophilin 2,Protein Coding,46,GC12M032790,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKP2,Q99959
502,RALA,RAS Like Proto-Oncogene A,Protein Coding,46,GC07P039622,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALA,P11233
503,SCARB1,Scavenger Receptor Class B Member 1,Protein Coding,46,GC12M124776,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB1,Q8WTV0
504,ARF6,ADP Ribosylation Factor 6,Protein Coding,45,GC14P049895,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF6,P62330
505,AP2M1,Adaptor Related Protein Complex 2 Subunit Mu 1,Protein Coding,45,GC03P184174,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP2M1,Q96CW1
506,MFGE8,Milk Fat Globule EGF And Factor V/VIII Domain Containing,Protein Coding,45,GC15M088898,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFGE8,Q08431
507,LOX,Lysyl Oxidase,Protein Coding,45,GC05M122063,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOX,P28300
508,FBLN5,Fibulin 5,Protein Coding,45,GC14M091869,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBLN5,Q9UBX5
509,GFER,"Growth Factor, Augmenter Of Liver Regeneration",Protein Coding,45,GC16P001984,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFER,P55789
510,ATP6V1A,ATPase H+ Transporting V1 Subunit A,Protein Coding,45,GC03P113747,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1A,P38606
511,CYB5R3,Cytochrome B5 Reductase 3,Protein Coding,45,GC22M042617,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5R3,P00387
512,AASS,Aminoadipate-Semialdehyde Synthase,Protein Coding,45,GC07M122073,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASS,Q9UDR5
513,ADAMTS1,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 1,Protein Coding,45,GC21M026835,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS1,Q9UHI8
514,BRD2,Bromodomain Containing 2,Protein Coding,45,GC06P055236,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD2,P25440
515,TLE1,"TLE Family Member 1, Transcriptional Corepressor",Protein Coding,45,GC09M081583,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLE1,Q04724
516,PRKAR2B,Protein Kinase CAMP-Dependent Type II Regulatory Subunit Beta,Protein Coding,45,GC07P107044,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR2B,P31323
517,RTN4,Reticulon 4,Protein Coding,45,GC02M054934,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTN4,Q9NQC3
518,POFUT1,Protein O-Fucosyltransferase 1,Protein Coding,45,GC20P032207,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POFUT1,Q9H488
519,SIRT5,Sirtuin 5,Protein Coding,45,GC06P013574,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT5,Q9NXA8
520,NGLY1,N-Glycanase 1,Protein Coding,45,GC03M025718,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGLY1,Q96IV0
521,PVR,PVR Cell Adhesion Molecule,Protein Coding,45,GC19P044644,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVR,P15151
522,TOR1A,Torsin Family 1 Member A,Protein Coding,45,GC09M129812,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOR1A,O14656
523,COL6A1,Collagen Type VI Alpha 1 Chain,Protein Coding,44,GC21P045981,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL6A1,P12109
524,AGPS,Alkylglycerone Phosphate Synthase,Protein Coding,44,GC02P177392,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGPS,O00116
525,HYOU1,Hypoxia Up-Regulated 1,Protein Coding,44,GC11M119045,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYOU1,Q9Y4L1
526,GGH,Gamma-Glutamyl Hydrolase,Protein Coding,44,GC08M063015,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGH,Q92820
527,AKAP9,A-Kinase Anchoring Protein 9,Protein Coding,44,GC07P091940,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP9,Q99996
528,PTGES2,Prostaglandin E Synthase 2,Protein Coding,44,GC09M128120,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES2,Q9H7Z7
529,TLE3,"TLE Family Member 3, Transcriptional Corepressor",Protein Coding,44,GC15M070047,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLE3,Q04726
530,SRP54,Signal Recognition Particle 54,Protein Coding,44,GC14P034981,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP54,P61011
531,PMPCA,"Peptidase, Mitochondrial Processing Subunit Alpha",Protein Coding,44,GC09P136410,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMPCA,Q10713
532,PMPCB,"Peptidase, Mitochondrial Processing Subunit Beta",Protein Coding,44,GC07P103297,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMPCB,O75439
533,SEPSECS,Sep (O-Phosphoserine) TRNA:Sec (Selenocysteine) TRNA Synthase,Protein Coding,44,GC04M025121,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPSECS,Q9HD40
534,SLC25A21,Solute Carrier Family 25 Member 21,Protein Coding,44,GC14M036677,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A21,Q9BQT8
535,NUP214,Nucleoporin 214,Protein Coding,44,GC09P131125,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP214,P35658
536,RAB10,"RAB10, Member RAS Oncogene Family",Protein Coding,44,GC02P026033,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB10,P61026
537,NARS2,"Asparaginyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,44,GC11M078435,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NARS2,Q96I59
538,RAB2A,"RAB2A, Member RAS Oncogene Family",Protein Coding,44,GC08P060516,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB2A,P61019
539,ATP6AP1,ATPase H+ Transporting Accessory Protein 1,Protein Coding,43,GC0XP154428,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6AP1,Q15904
540,GTF2F2,General Transcription Factor IIF Subunit 2,Protein Coding,43,GC13P045120,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2F2,P13984
541,GDF15,Growth Differentiation Factor 15,Protein Coding,43,GC19P026656,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF15,Q99988
542,EXOSC3,Exosome Component 3,Protein Coding,43,GC09M037772,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC3,Q9NQT5
543,ERC1,ELKS/RAB6-Interacting/CAST Family Member 1,Protein Coding,43,GC12P000972,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERC1,Q8IUD2
544,CENPF,Centromere Protein F,Protein Coding,43,GC01P214603,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPF,P49454
545,CDK5RAP2,CDK5 Regulatory Subunit Associated Protein 2,Protein Coding,43,GC09M120388,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5RAP2,Q96SN8
546,CUL2,Cullin 2,Protein Coding,43,GC10M035046,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL2,Q13617
547,MOGS,Mannosyl-Oligosaccharide Glucosidase,Protein Coding,43,GC02M074461,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOGS,Q13724
548,RAP1GDS1,Rap1 GTPase-GDP Dissociation Stimulator 1,Protein Coding,43,GC04P098261,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAP1GDS1,P52306
549,TRMT1,TRNA Methyltransferase 1,Protein Coding,43,GC19M013104,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT1,Q9NXH9
550,TARS2,"Threonyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,43,GC01P150502,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARS2,Q9BW92
